Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
621.08659,625.01788,590.0,590.0,7.82790364,4715.0478596,0.602338515705
590.0,615.22654,580.0,590.0,16.27100015,9667.68987428,0.594166909542
590.0,596.0,554.05,572.29918,11.83805962,6716.21180333,0.567340596256
576.36897,596.0,566.35804,568.53521,1.31873908,764.381988155,0.5796309518299999
574.22,592.53871,554.50454,585.40025,5.68481521,3251.78024164,0.5720115995899999
584.0,591.14973,579.0,584.0,5.97791428,3489.77874514,0.583778652835
579.05,641.14149,579.0,585.0851,13.08114995,7657.0321166,0.5853485470209999
585.1,599.27378,500.01,512.7888,35.31377035,19410.7180715,0.549664277678
507.71418,553.0,500.0,516.48107,43.68897138,22757.8022059,0.52090496725
511.37991,518.0,505.0,514.99,6.10790794,3123.46745191,0.511380898761
506.17549,506.17549,436.07375,462.47601,33.23922152,15817.7998264,0.47587756581
468.76285,530.0,443.35,462.38593,17.58660863,8232.05458017,0.46808652841299997
465.33984,503.23111,465.2,489.0,20.24699944,9912.41548754,0.489574542485
489.0,497.1468,443.625,443.625,12.40566408,5982.20192808,0.482215372713
440.01,463.7,426.45421,461.85,16.79680298,7530.39014404,0.448322823873
454.06034,550.0,440.0,458.84148,19.87883682,9151.4804382,0.460362974004
453.38455,467.85,447.56953,467.85,0.94414487,431.121717242,0.45662665862
467.838,469.43834,450.0,461.81827,5.1169521,2360.64456165,0.461338022229
465.49125,475.32049,450.0,462.07946,7.08636684,3276.75994961,0.46240337589
465.8142,465.8242,450.0,458.87469,3.46875095,1582.76801419,0.456293356601
459.21387,462.09031,450.0,452.99853,1.13219204,516.556759434,0.45624482524500004
450.01,450.01,368.13673,371.7835,17.22029124,7187.89587889,0.417408496681
368.10427,583.75327,353.75804,431.0,18.05442299,7414.76023381,0.410689404913
431.01,450.0,429.01001,448.0,8.75071499,3913.28356731,0.447195865913
429.00001,445.97999,407.07491,429.7899,9.31548393,3950.48629546,0.424077409735
411.33828,480.06527,411.33828,451.05736,42.69095344,18960.5241399,0.444134473748
472.77984,573.66927,450.49878,535.11388,31.04150095,15542.7831032,0.50070977973
529.81309,544.56794,490.55578,523.53017,51.25685199,26832.1120964,0.5234834184049999
523.53017,530.35862,495.53036,503.84789,16.07659504,8262.23219505,0.513929235295
504.60219,515.0,477.19035,485.37368,31.4900663,15648.443728,0.49693270185300004
485.5939,525.28225,479.95971,504.49054,10.96943779,5512.79119027,0.502559137105
506.21045,510.0,500.0,504.73422,1.540555,781.748449126,0.507445984808
507.0,517.31024,485.0,496.41683,17.33264568,8626.49616106,0.497702215826
501.33676,510.49,484.62239,489.72443,7.48967694,3735.21034587,0.49871448071700003
492.85243,497.73461,489.0,495.61699,7.02182626,3468.09482632,0.493902112913
495.0,503.48132,490.00001,503.48132,3.58845262,1766.63470354,0.492311001599
496.68623,496.68623,448.99999,471.43037,27.91399844,13145.8223321,0.47094013995699996
466.81001,472.13557,456.75,463.70172,2.84557385,1321.27028508,0.46432472138499997
463.6817,463.6817,435.0,435.0,3.75205363,1689.95578594,0.45040821709699996
