class,year,month,day
0.841835522304,2014,1,7
0.839156269366,2014,1,8
0.83157291257,2014,1,9
0.8449387936389999,2014,1,10
0.890671709182,2014,1,11
0.860454845983,2014,1,12
0.832260007114,2014,1,13
0.845036122437,2014,1,14
0.8495094300570001,2014,1,15
0.84712491239,2014,1,16
0.806189723729,2014,1,17
0.825238110884,2014,1,18
0.822151977547,2014,1,19
0.84263757746,2014,1,20
0.836978733518,2014,1,21
0.830100187214,2014,1,22
0.824873063658,2014,1,23
0.818389060769,2014,1,24
0.8179138921479999,2014,1,25
0.831154369709,2014,1,26
0.802461749592,2014,1,27
0.805122978774,2014,1,28
0.804717235814,2014,1,29
0.802297475323,2014,1,30
0.80631513088,2014,1,31
0.827001948611,2014,2,1
0.8275758284910001,2014,2,2
0.810892780331,2014,2,3
0.8071627936019999,2014,2,4
0.803719720326,2014,2,5
0.777860501485,2014,2,6
0.7157996782830001,2014,2,7
0.707630658939,2014,2,8
0.7203166215,2014,2,9
0.656382333377,2014,2,10
0.69274289689,2014,2,11
0.67784749942,2014,2,12
0.624979094344,2014,2,13
0.648719236636,2014,2,14
0.663121307911,2014,2,15
0.63018844393,2014,2,16
0.62973938304,2014,2,17
0.637249203647,2014,2,18
0.627246963275,2014,2,19
0.6028501373620001,2014,2,20
0.569699422458,2014,2,21
0.598192466686,2014,2,22
0.621107028795,2014,2,23
0.58379747133,2014,2,24
0.516141923329,2014,2,25
0.591586255614,2014,2,26
0.5926283129,2014,2,27
0.581964181812,2014,2,28
0.5744892522489999,2014,3,1
0.581740926469,2014,3,2
0.6290139351039999,2014,3,3
0.687437994293,2014,3,4
0.673389323614,2014,3,5
0.670809341308,2014,3,6
0.654452513518,2014,3,7
0.6458128584580001,2014,3,8
0.6439689312760001,2014,3,9
0.649855309872,2014,3,10
0.6135705044940001,2014,3,11
0.639342323843,2014,3,12
0.646439263723,2014,3,13
0.636723140841,2014,3,14
0.63798383516,2014,3,15
0.642921983759,2014,3,16
0.626913793997,2014,3,17
0.617210132198,2014,3,18
0.6196975047109999,2014,3,19
0.602338515705,2014,3,20
0.594166909542,2014,3,21
0.567340596256,2014,3,22
0.5796309518299999,2014,3,23
0.5720115995899999,2014,3,24
0.583778652835,2014,3,25
0.5853485470209999,2014,3,26
0.549664277678,2014,3,27
0.52090496725,2014,3,28
0.511380898761,2014,3,29
0.47587756581,2014,3,30
0.46808652841299997,2014,3,31
0.489574542485,2014,4,1
0.482215372713,2014,4,2
0.448322823873,2014,4,3
0.460362974004,2014,4,4
0.45662665862,2014,4,5
0.461338022229,2014,4,6
0.46240337589,2014,4,7
0.456293356601,2014,4,8
0.45624482524500004,2014,4,9
0.417408496681,2014,4,10
0.410689404913,2014,4,11
0.447195865913,2014,4,12
0.424077409735,2014,4,13
